name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus
Pennywise,,Indica,8%,Myrcene,"Pennywise is a high-CBD indica cross between Harlequin and Jack the Ripper, a combination that lends this strain its killer clown name. Four phenotypes of this Stephen King-inspired strain exist, some of which have fingerlike buds while others appear more round. Notes of coffee and pepper lift from the purple-fringed flowers with undertones of lemon and bubblegum. Rich in the therapeutic compound CBD, Pennywise is especially effective in treating arthritis, PTSD, epilepsy, neurological disorders, and cancer symptoms. It contains a 1:1 ratio of CBD and THC, so the psychoactive effects are milder and more relaxing. Jack the Ripper’s cerebrally focused effects are detectable in Pennywise’s genes as euphoria and mental clarity take over with an invigorating buzz. Pennywise flowers in 60 to 67 days and is suitable for either indoor or outdoor gardens.",76%,48%,32%,35%,30%,15%,11%,4%,0%,3%,38%,38%,31%,39%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
El Chapo OG,,Indica,,,"El Chapo OG is a potent indica strain out of California that smells of rich earth and pine. With dense jade popcorn buds that exhibit a shimmering coat of trichomes, this strain is visually striking and worth keeping on display. Its effects are initially stunning and settle on the body as carefree relaxation. El Chapo OG is preferred near the end of the day as its effects can become rather sedating with continued use.   ",77%,60%,33%,30%,50%,26%,24%,5%,0%,1%,43%,37%,24%,37%,28%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Face Mints,,Hybrid,19%,Terpinolene,"Face Mints is an indica-dominant hybrid marijuana strain. We're still learning about the effects of Face Mints - if you've smoked this strain recently, tell us about it by leaving a review.",68%,37%,40%,0%,40%,25%,6%,0%,0%,0%,3%,3%,3%,0%,3%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Double Dream,,Hybrid,19%,Myrcene,"The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea.",56%,54%,50%,54%,0%,25%,11%,4%,3%,6%,31%,28%,29%,26%,0%,0%,0%,0%,0%,0%,0%,14%,39%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Critical,,Hybrid,15%,Pinene,"Bred by Royal Queen Seeds, Critical is a cross of an Afghani strain with an heirloom Skunk. Their goal was to create a stony strain with a quick growing period that produces quality yields in northern latitudes. Consumers can expect a strong earthiness that is pungent yet sweet, while the high is sedative and relaxing.",66%,25%,33%,0%,0%,16%,8%,0%,0%,0%,25%,16%,8%,25%,25%,0%,16%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tropic Thunder,,Hybrid,19%,Pinene,"Tropic Thunder is a mysterious Maui Wowie cross that exhibits colorful buds and floral aromas. The strain’s moderate potency makes it suitable for consumption any time of the day, offering a mellow and manageable buzz that elevates the mood and alleviates stress. Its floral aroma transforms into a bitter, herbaceous mixture of flavors upon combustion or vaporization. Tropic Thunder has been used for a variety of ailments, but excels when contending with depression, inflammation, and muscle spasms. ",36%,48%,44%,36%,0%,16%,8%,0%,0%,0%,12%,12%,16%,20%,0%,0%,0%,0%,0%,0%,28%,0%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Apple Kush,,Hybrid,20%,Myrcene,"Apple Kush is the indica-dominant hybrid cross of Sour Diesel and Pure Kush. This strain leads with powerful cerebral effects that align well with people suffering from depression or anxiety, and follows with body effects that are ideal for curbing inflammation. Indulge in this Oregonian favorite later in the day, as the strain’s creeping sedative effects can be rather weighty.   ",88%,56%,72%,0%,36%,40%,48%,12%,0%,0%,44%,28%,28%,24%,28%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Hi-Octane,,Hybrid,21%,Limonene,"Grown by the team at Cookies Fam, Hi-Octane is a cross of Sunset Sherbert and Octane. It’s perfect for when it’s time to quiet down and go to bed. The strain has been used for numerous crosses and continues to infuse strains with its tasty terpenes. Expect an aroma and flavor that is gassy with a smooth, creamy, and floral finish on the exhale. Next time you are looking for some gas, Hi-Octane might be the right choice.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Glueberry,,Hybrid,20%,Myrcene,"Glueberry is an evenly-balanced hybrid marijuana strain made by crossing Blueberry with Gorilla Glue and OG Kush. This triple threat of a strain can pack a heavy punch of effects that will make you feel euphoric before lulling you into a chilled out state. Glueberry has a fruity, blueberry flavor profile with bright hints of citrus. Medical marijuana patients choose this strain to help fight symptoms related to PTSD and chronic anxiety.",0%,0%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,66%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Fruit Loops,,Hybrid,18%,Myrcene,"Fruit Loops is an indica-dominant hybrid that smells as good as it sounds, Tucan sold separately. This luscious strain reeks of its recessive Grapefruit and Blueberry genetics and takes White Widow’s moderate body effects further with every puff. This high potency hybrid lingers and is slightly stimulating, but overall, mellow. Fruit Loops is a must-have for those seeking heady conversations and shrugging off daily stressors.",77%,61%,42%,49%,0%,20%,9%,1%,0%,6%,28%,0%,19%,22%,0%,33%,0%,1%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Banana Hammock R1,,Indica,12%,Myrcene,"Bred by Ethos out of Colorado, Banana Hammock is an indica cross of Grape God and Mandarin Sunset. Large dense purple flowers with fruity tropical terpenes smelling of grape and honey make for a delicious smoke. The high is potent and soothing, great for settling down into the couch or getting onto a bike for a lazy afternoon adventure. Banana Hammock is potent, usually testing above 20% THC, making this strain a great fruity choice for experienced users.",77%,43%,33%,0%,35%,8%,10%,2%,0%,2%,12%,12%,0%,27%,14%,16%,0%,2%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Cookie Monster,,Indica,17%,Myrcene,"Cookie Monster is a 2014 Seattle Cannabis Cup winner that blends the West Coast royalty, Girl Scout Cookies, and the legendary powerhouse, OG Kush. This combination yields dense frosted buds with hints of purple and orange hairs throughout. Cookie Monster pushes the boundaries of Cookies’ medical uses and leans toward medium-to-full sedation. Use Cookie Monster to reduce physical discomfort, indigestion, or before bed to jumpstart your dream machine.   ",75%,57%,49%,33%,36%,22%,12%,4%,3%,3%,33%,35%,0%,31%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Diablo,,Indica,20%,Myrcene,"Bred from Grapefruit, Blueberry and South African Sativa, the Diablo cannabis strain announces itself with a sweet aroma. This indica expresses purple hues in its flowers, along with fruity and spicy flavors. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",55%,44%,43%,30%,30%,28%,17%,7%,5%,0%,35%,32%,21%,30%,27%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Afgoo,,Indica,16%,Myrcene,"Afgoo, also known as Afgooey, is a potent indica-dominant strain that is believed to descend from Afghani and Maui Haze. This strain may provide some uplifting creativity in smaller doses, but is generally reported to be relaxing and sleepy. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",51%,44%,45%,27%,45%,35%,19%,8%,5%,0%,39%,34%,20%,29%,37%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3X Crazy,,Indica,13%,Myrcene,"3X Crazy is an indica marijuana strain made by crossing OG Kush, Bubba Kush, and Granddaddy Purple. 3X Crazy produces relaxing body effects with a clear-headed cerebral high. This strain features flavors like grape, spicy pepper, and earthy notes. Medical marijuana patients choose 3X Crazy to relieve symptoms associated with chronic pain, muscle spasms, tension and insomnia. This strain is sometimes called Optimus Prime.",76%,48%,47%,31%,38%,23%,16%,3%,2%,4%,38%,31%,26%,22%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Chocolate Diesel,,Sativa,24%,Myrcene,"Chocolate Diesel is a sativa cannabis strain that brings together genetics from the original Sour Diesel and Chocolate Thai. With soaring euphoria that shoots straight to the head, Chocolate Diesel could easily be compared to a cup of coffee. Its flavors offer a little part of both parents, with notes of both earthy chocolate and skunky diesel.",0%,60%,62%,54%,0%,22%,8%,6%,6%,10%,35%,18%,27%,29%,0%,0%,0%,0%,0%,50%,64%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Jelly Breath,,Hybrid,16%,Limonene,"Bred by an unknown breeder, Jelly Breath is a cross of Mendo Breath and Do-Si-Dos. Both strains share OG Kush Breath lineage, which brings forward a strong sedative high from head to toe. Dense buds are sugar-coated and often a rich purple hue. As for the terpenes, people can expect a delicious lip-smacking and throat-coating jelly, kush, and cookies flavor profile.",57%,42%,35%,0%,21%,14%,21%,0%,0%,0%,7%,7%,7%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sunshine #4,,Hybrid,22%,Limonene,Sunshine #4 is an award-winning hybrid bred by Bodhi Seeds. This blend of Chemdawg 4 and Sunshine Daydream genetics took the prize for Best Hybrid Flower at the 2015 High Times Medical Cup in Michigan.,63%,60%,57%,65%,0%,14%,9%,1%,3%,4%,32%,31%,27%,19%,0%,0%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Mazar x Blueberry,,Hybrid,,,"Mazar x Blueberry, also known as ""Skywalker OG"" or simply ""Skywalker"" is a well-rounded indica-dominant hybrid that helps patients knock out pain and relax into sleep after a long day. The sativa side of this strain allows for a nice head high as well, but it isn’t overly hazy or unfocused. Mazar x Blueberry was created by Amsterdam’s Dutch Passion Seeds to combine the sweet fruity aroma of Blueberry with the growing strengths of the hardy, high-yielding Mazar. Great for indoor growing, Mazar x Blueberry plants will stay shorter and bushy, flowering in 8 to 9 weeks. If you’re looking for the California Mazar x Blueberry that has OG genetics, check out Mazar x Blueberry OG.",49%,46%,46%,32%,38%,32%,18%,8%,5%,0%,44%,38%,23%,32%,30%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Gorilla Grapes,,Hybrid,17%,Myrcene,"Bred by Dungeon Vault Genetics, Gorilla Grapes is a cross of Original Glue and Vino OG. It is a THC-dominant hybrid with a sweet grape flavor and diesel undertones. Medium-sized buds are olive-colored with deep purple and red hues, all covered with a sticky layer of white trichomes.",67%,62%,47%,43%,0%,28%,7%,1%,0%,1%,26%,15%,20%,22%,0%,0%,0%,0%,15%,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Citradelic Sunset,,Hybrid,17%,Myrcene,"Crossing Ghost Train Haze and Mandarin Sunset, Ethos Genetics’ Citradelic Sunset has attractive lime-green buds scattered with purple hues. Ranging from sour orange and lime to a sweeter profile, this strain will make your mouth water. ",27%,50%,50%,50%,0%,22%,0%,0%,0%,0%,33%,0%,16%,27%,0%,0%,0%,0%,16%,0%,38%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Cinex,https://images.leafly.com/flower-images/CINEX-077.jpg,Sativa,16%,Limonene,"Cinex, a hybrid of parents Cinderella 99 and Vortex, has a mixture of flavors ranging from sweet citrus to earthy skunk. The effects are clear-headed and uplifting, perfect for building a positive mindset and stimulating creative energy. Consumers enjoy Cinex for its ability to improve mood.",0%,52%,0%,50%,0%,19%,12%,4%,5%,6%,31%,22%,30%,23%,0%,0%,0%,0%,0%,42%,51%,15%,46%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Hell's OG,,Hybrid,23%,Myrcene,"Hell's OG is an indica-dominant hybrid that is said to contain OG Kush and Blackberry genetics. The strain’s origins are poorly documented, but popular myth will tell you Hell's OG was bred by biker ruffians in Southern California. If nothing else, we could assume this strain is named after its fierce psychoactive effects that settle in quickly and heavily. Lifting stress from the mind and pain from the body, Hell's OG is a therapeutic strain commonly used to treat inflammation, insomnia, and PTSD. Underneath its dominant earthy flavors hides a subtle citrus, candy-like aroma. This hybrid produces large, heavy buds that flower in 8 to 9 weeks indoors while outdoor plants are ready for harvest during the September-October transition.",72%,45%,46%,0%,38%,22%,11%,4%,0%,5%,32%,30%,21%,27%,25%,28%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Inzane In The Membrane,,Sativa,19%,Myrcene,"Regarded as a high-yielding, potent powerhouse from Ethos Genetics, Inzane In The Membrane is a sativa with mysterious genetics. Frosty lime-green buds are covered in orange pistils and put off a loud lemon citrus aroma that blasts through the bag. Great for any connoisseur of cerebral highs, this strain will get you moving.",37%,43%,40%,51%,0%,13%,8%,0%,2%,2%,18%,10%,18%,16%,0%,0%,0%,0%,0%,0%,37%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10th Planet,,Hybrid,,,"Ethos Genetics crossed Planet of the Grapes and the Pluto cut of Quattro Kush to create this calyx-heavy strain that is out of this solar system. Flavors and aromas are heavy on the grape and citrus notes, and backed by thick, skunky spice and gas undertones. As for effects, this strong strain will put you in sedative and blissful haze.",80%,40%,50%,0%,30%,0%,0%,0%,0%,0%,0%,20%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,40%,10%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Phantom Cookies,,Hybrid,19%,Caryophyllene,"Phantom Cookies is a sativa-dominant hybrid from Northern California that crosses a flavorful Cherry Pie with the resin-heavy Granddaddy Purple. Green and purple hues weave through the buds beneath a crystalline layer of trichomes, from which sprout Phantom Cookies’ electric orange hairs. Its aroma is an intricate blend of earthiness and roasted nuts, accented by sweeter notes of grape and berry. Next comes this hybrid’s crushing euphoria which shakes the mind awake with creativity and happiness. Increase the dose and the brain and body will be overcome with a relaxing haze that dulls nausea, stress, and pain while sharpening the appetite. Phantom Cookies will be ready to harvest outdoors at the beginning of October, but indoor growers will wait 8 to 9 weeks for buds to finish flowering.",61%,63%,53%,52%,0%,20%,9%,7%,4%,4%,31%,28%,26%,22%,0%,0%,0%,0%,0%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purple Dream,,Hybrid,17%,Myrcene,"Purple Dream is the mild child of Granddaddy Purple and Blue Dream. Featuring a strong sour grape smell and musty taste, this indica strain provides consumers with a relaxing tingly body sensation and has moderate head-heavy effects. It allows patients to function yet acts as a gentle sedative. Purple Dream is great for pain relief or winding down at the end of the day. ",60%,56%,41%,36%,0%,24%,14%,4%,4%,2%,42%,35%,26%,31%,21%,0%,0%,0%,0%,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Extreme Cream,,Indica,19%,Limonene,"Extreme Cream by Exotic Genetix is the pungent cross between Extreme OG and Cookies & Cream. This strain develops deep purple colas dusted with trichomes and emits a strong, earthy aroma that is somehow creamy on the nose and buttery on the palate. Extreme Cream’s effects are uplifting for some, offering mood elevation that may abate anxiety and spur conversation. Others may experience tranquilizing effects alongside euphoria, appetite stimulation, and couch lock.   ",73%,53%,36%,0%,38%,25%,13%,9%,1%,1%,26%,26%,23%,25%,19%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Green Line OG,,Hybrid,,,"Green Line OG by Cresco Labs is the offspring of Lime Skunk and Ghost OG. Notes of sweet citrus and forest floor fill the nose with a refreshing aroma. Inheriting both the uplifting nature of its Lime Skunk father and the potency of its Ghost OG mother, Green Line OG delivers equal parts mental clarity and physical comfort, offering consumers mood elevation while curbing aches and pain.  ",33%,30%,20%,24%,0%,4%,1%,0%,1%,0%,14%,12%,13%,12%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Blueberry Diesel,https://images.leafly.com/flower-images/BLUEBERRY-DIESEL-009.jpg,Hybrid,19%,Caryophyllene,"Blueberry Diesel is a cross of two favorite strains, Blueberry and Sour Diesel. It is probably best known for its strong blueberry smell with hints of fuel from its Diesel lineage. Blueberry flavors overwhelm its sticky flowers, which should have plenty of trichomes and long orange hairs. Effects tend to be happy and relaxing but not too overwhelming, making this a popular choice for many kinds of consumers.",51%,57%,53%,45%,0%,23%,16%,6%,3%,0%,33%,26%,26%,27%,0%,0%,0%,3%,0%,0%,26%,0%,0%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Frosty,,Indica,23%,Myrcene,"Frosty is a marijuana strain. We’re still learning about the flavors and effects of Frosty. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",61%,64%,52%,35%,35%,14%,8%,0%,8%,5%,44%,23%,23%,26%,23%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Dutch Hawaiian,,Sativa,19%,Myrcene,Dutch Hawaiian is a smooth sativa created by crossing Dutch Treat and Hawaiian Sativa. Beautiful stinky buds offer an earthy citrus smell that carries into the flavor of the smoke incredibly well. This balanced high may send you into a cerebral bliss before sending your body on a journey toward the clouds.,0%,59%,41%,56%,0%,11%,9%,3%,0%,5%,27%,15%,20%,19%,0%,0%,0%,3%,0%,37%,36%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Ayahuasca Purple,,Indica,17%,Myrcene,"Ayahuasca Purple by Barney’s Farm is a deeply relaxing indica-dominant cross of Master Kush and Red River Delta. The primary aromas are unique, expressing hints of hazelnut and papaya. This indica-dominant strain develops deep purple foliage and is sensitive to overfeeding. Enjoy Ayahuasca Purple at the end of the day to maximize its relaxing, full-body effects.  ",78%,52%,57%,29%,39%,27%,16%,8%,0%,1%,31%,32%,22%,31%,29%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Champagne Kush,,Hybrid,14%,,"Champagne Kush is an indica-dominant hybrid that offers a variety of attributes suited to different tastes and ailments. With a pleasant and palpable weight on the limbs coupled with a heady, thoughtful mind, this strain adapts to the consumer’s needs with dosage. On the lighter end, expect a headier trip with mood enhancing effects that generally lead to a sense of well-being. But with continued consumption, this strain can lead to a weighted body and mind that feels meditative at its core.    ",45%,56%,51%,45%,0%,33%,24%,7%,2%,0%,40%,34%,29%,34%,0%,0%,0%,4%,0%,32%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Hardcore OG,,Indica,20%,Limonene,"An indica-dominant cross between Big Bud and DJ Short Blueberry, Hardcore OG is a California strain bred with the stalwart cannabis veteran in mind. Its dense, pungent buds produce thick coats of resin that can be extracted for potent (and we mean potent) concentrates. The weight of this sedating indica sinks throughout the body, submerging stress, pain, and other ailments under its crushing THC content.",37%,25%,18%,0%,22%,15%,9%,2%,0%,1%,25%,19%,11%,0%,12%,15%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Cream Caramel,,Indica,15%,Myrcene,"Cream Caramel, named after its sweet caramel aroma, is a 90% indica cross between BlueBlack, Maple Leaf Indica, and White Rhino. Covered in a sugary coat of THC-rich resin, Cream Caramel delivers heavy, relaxing indica effects that soothe the mind and body. Though originally bred by Sweet Seeds in Spain, Royal Queen Seeds have also championed their own rendition called Royal Caramel. Early October is the finish line for outdoor Cream Caramel flowers, while indoor gardens should be harvested after a 7 to 8 week flowering period.",84%,53%,33%,0%,49%,32%,16%,2%,0%,3%,34%,22%,15%,20%,27%,30%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LA Kush,,Hybrid,20%,Myrcene,"Originating in Los Angeles, California, LA Kush is a hybrid with obscure genetic roots. Not to be confused with OG Los Angeles Kush,  the general consensus is that LA Kush is a variety of OG Kush, and possibly a select phenotype of Abusive OG. In spite of the mystery, LA Kush presents itself as an earthy mix of pine and menthol flavors. Its happy effects bring a smile to your face, lifting your mood and relaxing sore muscles. If you are looking to alleviate stress or need a spark of creativity, look to LA Kush. ",70%,61%,47%,44%,0%,29%,17%,8%,0%,11%,38%,23%,29%,23%,0%,0%,0%,5%,0%,0%,38%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Banana Split,,Hybrid,16%,Terpinolene,"Bred by Crockett Farms, Banana Split is a sativa-dominant cross of their famous Tangie and Banana Sherbert. Banana Split offers a clean level-headed high suitable for anyone looking to have a productive day. Growers can expect large buds with oversized frosty colas that host a Tangie-derived citrus aroma alongside sweet flavors from Banana Sherbet. ",52%,62%,51%,43%,0%,14%,12%,5%,0%,3%,20%,14%,15%,14%,0%,0%,0%,3%,0%,0%,0%,10%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
