name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Lemon OG,https://images.leafly.com/flower-images/LEMON-OG-051-2.jpg,Hybrid,19%,Caryophyllene,"What this skunky indica lacks in longevity it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks.",58%,46%,42%,36%,0%,23%,12%,5%,4%,4%,27%,23%,17%,23%,17%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.166,0.027,0.019,0.0,0.0,0.47,0.011,0.013,0.523,0.562,0.096,0.0,1.419,0.261,,0.109,0.489,0.0,0.0,,4.6,0.0,67.65,0.0,0.05,0.9,0.0,0.0,0.0,1.47,0.19,0.06,
Wedding Pie,,Hybrid,26%,Myrcene,"Wedding Pie is an indica-leaning hybrid that is made by crossing Wedding Cake and Grape Pie. Wedding Pie puts out a fragrant, fruity dessert aroma that is sweet, lemony, and gassy. This strain will quickly put your mind at ease as you enjoy the calming high and the quality craftsmanship that make this strain an all-around hit. Wedding Pie is bred by the respected Cannarado Genetics.",55%,66%,33%,27%,44%,11%,11%,0%,5%,5%,16%,11%,11%,22%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.027,0.0,0.002,0.163,0.0,0.109,0.0,0.0,0.069,0.15,0.019,0.0,0.487,0.011,,0.031,0.199,0.0,0.0,,0.44,0.0,19.19,0.0,0.0,0.04,0.0,0.0,0.0,0.68,0.06,0.0,
True OG,https://images.leafly.com/flower-images/true-og.jpg,Indica,19%,Myrcene,"True OG is a popular indica marijuana strain bred with genetics from OG Kush. This strain was originally discovered in Southern California, where the term “OG” originally meant “ocean grown.” True OG is potent, with long-lasting effects combined with a more focused head high. True OG buds have a pungent, crisp citrus and pine scent. True OG has snagged the 2nd place indica spot in every High Times Medical Cup since 2010. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic pain.",64%,52%,49%,33%,37%,30%,22%,5%,0%,3%,34%,26%,25%,29%,23%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.023,0.0,0.0,0.0,0.129,0.01,0.0,0.339,0.136,,0.023,0.148,0.0,0.0,,0.38,0.02,17.6,0.02,0.0,0.1,0.0,0.0,0.0,0.55,0.11,0.06,
White Tahoe Cookies,https://images.leafly.com/flower-images/white-tahoe-cookies.jpg,Indica,20%,Caryophyllene,"White Tahoe Cookies is an indica marijuana strain made by crossing The White, Tahoe OG, and an unknown Girl Scout Cookies cut. This strain exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweet, hashy notes with distant OG undertones. Its restful effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety.",74%,50%,36%,23%,34%,19%,11%,0%,4%,3%,23%,17%,21%,19%,17%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.015,0.006,0.0,0.003,0.0,0.007,0.342,0.0,0.012,0.1,0.272,0.053,0.0,0.683,0.457,,0.104,0.614,0.0,0.0,,0.58,0.0,26.14,0.0,0.0,0.05,0.0,0.0,0.0,1.4,0.08,0.0,
Skunk 1,,Hybrid,16%,Myrcene,"Skunk #1 is a hybrid marijuana strain that has influenced cannabis on a global scale, parenting a horde of Skunk crosses since it first bloomed in the late 1970s. Sacred Seed Co. originally bred Skunk #1 using diverse genetics from around the world; Afghani, Acapulco Gold, and Colombian Gold varieties converged through an intricate selective breeding process that spanned several generations, and finally the genetic cornerstone of countless cannabis hybrids was born. ",43%,58%,52%,40%,0%,41%,24%,10%,14%,0%,38%,24%,24%,29%,13%,0%,0%,7%,0%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.019,0.017,0.0,0.034,0.028,0.0,0.164,0.0,0.037,0.023,0.132,0.056,0.0,0.306,0.085,,0.091,0.383,0.0,0.0,,0.54,0.0,15.51,0.02,0.0,0.08,0.0,0.0,0.0,0.19,0.05,0.0,
Chocolope,https://images.leafly.com/flower-images/o4MhnTW2QK2LicV68uiY_CHOCOLOPE-212-edited.jpg,Sativa,16%,Myrcene,"Chocolope is a sativa marijuana strain made by crossing Chocolate Thai with Cannalope Haze. The result is a delicious homage to the chocolate strains that were popular in the 1980s. Chocolope's hefty buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress.",0%,59%,47%,58%,0%,23%,14%,5%,4%,4%,41%,18%,32%,28%,0%,0%,0%,0%,0%,37%,46%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.277,0.0,0.0,0.015,0.0,0.122,0.0,0.011,0.467,0.685,0.033,0.0,2.027,0.078,,0.055,0.227,0.0,0.0,,2.8,0.0,69.89,0.0,0.0,0.17,0.0,0.0,0.0,1.46,0.21,0.0,
Triangle Kush,,Indica,20%,Myrcene,"Triangle Kush is an indica marijuana strain that originated in Florida. This strain provides relaxing effects and is known to stimulate creativity. Some people say smoking Triangle Kush makes them extra chatty. This strain gets its name from Florida's three cannabis-producing capitals: Jacksonville, Miami, and Tampa. Growers say Triangle Kush has a flowering time of 70 days.",68%,49%,49%,33%,31%,16%,10%,8%,0%,2%,25%,20%,22%,24%,20%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.02,0.001,0.0,0.002,0.0,0.0,0.094,0.0,0.016,0.0,0.087,0.06,0.0,0.288,0.492,,0.096,0.497,0.0,0.0,,0.77,0.0,23.77,0.0,0.0,0.05,0.0,0.0,0.01,1.08,0.12,0.01,
Afghani,,Indica,16%,Myrcene,"Afghani is a potent indica marijuana strain. This strain delivers a deep state of relaxation and euphoria. The flavors Afghani produces are sweet and earthy. Medical marijuana patients most commonly turn to this strain to treat insomnia, pain, and stress disorders. Afghani is named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure this strain for its heavy resin production which is passed on genetically. ",63%,41%,42%,0%,53%,30%,18%,7%,2%,0%,36%,34%,18%,30%,33%,29%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.054,0.0,0.0,0.165,0.179,0.0,0.375,0.535,,0.101,0.239,0.0,0.0,,2.18,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.08,0.03,
Sour Tangie,https://images.leafly.com/flower-images/sour-tangie.jpg,Sativa,18%,Myrcene,"DNA Genetics’ Sour Tangie is an 80% sativa cross between East Coast Sour Diesel and Tangie. Sour Tangie brings together the classic Sour Diesel aroma with Tangie’s creative, elevating buzz and strong citrus overtones. This sativa has two different phenotypes that express either Sour Diesel or Tangie bud structures and effects. Sour Tangie grows quickly in its vegetative cycle and finishes flowering in 9 to 10 weeks indoors.",0%,53%,41%,51%,0%,16%,9%,4%,0%,4%,28%,14%,29%,18%,0%,0%,0%,2%,0%,35%,41%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.004,0.008,0.0,0.0,0.0,0.0,0.02,0.007,0.004,0.072,0.12,0.023,0.0,0.292,0.11,,0.033,0.11,0.0,0.0,,0.23,0.0,16.31,0.0,0.0,0.08,0.0,0.0,0.0,0.42,0.08,0.0,
Clementine,,Sativa,16%,Terpinolene,Clementine is a energizing sativa-dominant strain that is made by crossing Tangie with Lemon Skunk. This strain is loved for its sweet taste and citrus aroma. Leafly users say Clementine is perfect for a wake and bake or activating your third eye to increase your focus. Clementine has won awards including the best sativa concentrate in 2015.,28%,48%,31%,41%,0%,10%,5%,1%,3%,3%,24%,13%,20%,19%,0%,0%,0%,0%,0%,0%,38%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.03,0.007,0.0,0.0,0.0,0.206,0.019,0.058,0.053,0.203,0.0,0.0,0.518,0.041,,0.0,0.035,0.01,0.0,,1.1,0.07,79.44,0.03,0.0,0.2,0.0,0.0,0.0,4.34,0.29,0.0,
Billy Kimber,,Hybrid,23%,Myrcene,"Named after a character on the TV show Peaky Blinders, Billy Kimber is an award-winning OG Kush phenotype from Garrison Lane in California. It typically has light and dark green buds that look icy with trichomes. Expect piney, chemmy, and gassy aromas, and large, dense nugs with Billy Kimber. California lifestyle brand Garrison Lane, as well as Gas House are the main growers of this cultivar. Billy Kimber is very high in THC, and very low in CBD, and best for veteran smokers. Consumers report strong euphoric effects, as well as sedation, and it may help manage insomnia and pain relief. Billy Kimber is grown indoors by experts only.",54%,45%,45%,29%,29%,4%,0%,0%,4%,4%,12%,0%,12%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.0,0.0,0.024,0.0,0.0,0.183,0.0,0.0,0.019,0.144,0.04,0.0,0.457,0.391,,0.083,0.382,0.0,0.0,,1.97,0.0,26.09,0.0,0.0,0.02,0.0,0.0,0.0,0.84,0.13,0.0,
Orange Creamsicle,https://images.leafly.com/flower-images/orange-creamsicle.jpg,Hybrid,18%,Myrcene,"Taking the best attributes of parent strains Orange Crush and Juicy Fruit, Orange Creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. This hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. Growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin.",51%,62%,37%,54%,0%,14%,12%,3%,8%,4%,18%,14%,17%,23%,0%,0%,0%,0%,0%,0%,36%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.028,0.113,0.519,0.039,0.088,0.03,0.0,0.293,0.135,,0.054,0.145,0.0,0.0,,0.47,0.0,14.12,0.0,0.0,0.01,0.0,0.0,0.0,0.52,0.02,,
Haze,https://images.leafly.com/flower-images/haze.png,Sativa,16%,Myrcene,"Haze is a sativa marijuana strain. This strain provides high-energy and creative effects. Haze first took root in Santa Cruz, California during the 1960s where long growing seasons accommodated her lengthy flowering cycle. Since then, Haze has become the proud parent of countless hybrids around the globe, passing on its genetics from Colombia, Mexico, Thailand, and South India. Haze's aroma is typically characterized by a spicy scent accented by hints of citrus and earthy sweetness. ",0%,59%,50%,52%,0%,37%,18%,11%,16%,7%,38%,24%,24%,25%,0%,0%,0%,0%,0%,41%,45%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146,0.0,0.0,0.0,0.107,0.617,0.0,0.794,0.791,,0.159,2.203,0.0,0.0,,73.8,0.0,0.0,0.57,2.51,0.0,2.89,0.0,0.0,0.0,3.58,2.01,
XXX OG,,Indica,20%,Limonene,"XXX OG, from parent strains OG Kush and XXX, is an indica that took 1st place in the 2014 Los Angeles Cannabis Cup. Its bulky, conic buds glow with a heavy, white coat of oozing trichomes, emitting earthy, pine, and lemon notes that combine for a sap-like aroma. In small doses, XXX OG induces moderately sedating effects that allow some mental clarity and physical energy. As you increase the dose, the fight against lethargy and couchlock becomes futile. This makes XXX OG an excellent remedy for sleeplessness, and severe cases of nausea and chronic pain may benefit from the potent effects of this strain. ",68%,45%,44%,29%,53%,20%,15%,5%,0%,1%,36%,34%,24%,29%,30%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.005,0.0,0.0,0.003,0.006,0.054,0.057,0.007,0.029,0.055,0.316,0.0,0.19,0.272,,0.096,0.06,0.0,0.0,,0.86,0.0,15.65,0.0,0.0,0.04,0.0,0.0,0.0,0.56,0.04,0.0,
Key Lime Pie,,Hybrid,18%,Caryophyllene,"Key Lime Pie is a hybrid marijuana strain and a phenotype of Girl Scout Cookies. This strain produces relaxing body effects that help to relieve chronic pain and insomnia. Key Lime Pie is beloved for its strong indica characteristics and heavy resin production. This strain features flavors of lime candy, mint, and spice. Upon exhale, you'll notice flavors that are earthy and chocolatey. The buds of Key Lime Pie regularly show traces of purple hues due to the plant’s affinity towards colder temperatures. ",55%,55%,38%,39%,0%,21%,13%,2%,0%,2%,27%,23%,21%,18%,13%,0%,0%,1%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.001,0.0,0.0,0.001,0.051,0.0,0.033,0.0,0.0,0.0,0.149,0.019,0.0,0.388,0.091,,0.039,0.244,0.0,0.0,,0.45,0.02,18.76,0.02,0.0,0.08,0.0,0.0,0.0,0.29,0.12,0.07,
Black Jack,https://images.leafly.com/flower-images/black-jack.jpg,Hybrid,18%,Terpinolene,"Bred by Sweet Seeds, Black Jack is a cross of Black Domina and Jack Herer. This strain produces thick buds with huge calyxes that are completely encrusted with trichomes. It has a heavy and flavorful taste and it produces exceptionally long-lasting effects. Because of its high THC levels, Black Jack is popular among medical marijuana patients.",60%,53%,42%,45%,0%,27%,12%,6%,0%,4%,32%,24%,24%,29%,0%,0%,0%,3%,12%,0%,0%,0%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.082,0.0,0.034,0.042,0.114,0.036,0.0,0.317,0.201,,0.064,0.295,0.0,0.0,,0.31,0.0,18.18,0.01,0.0,0.05,0.0,0.0,0.0,1.12,0.04,0.01,
Mochi,,Hybrid,10%,Myrcene,"Mochi is a hybrid marijuana strain that promotes creativity and pain relief. This strain is made by crossing Sunset Sherbet with Thin Mint Girl Scout Cookies. Mochi is known for having beautiful, dense buds with a frosty mixture of colors including purple, jade and bright red. This strain is sometimes known as Gelato 47 and Mochi Gelato. ",70%,33%,27%,29%,39%,16%,8%,2%,6%,10%,27%,0%,25%,35%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.025,0.027,0.0,0.0,0.049,0.161,0.0,0.126,0.547,,0.073,0.133,0.0,0.0,,0.51,0.0,10.44,0.0,0.0,0.05,0.0,0.0,0.0,0.18,0.02,0.0,
Super Skunk,https://images.leafly.com/flower-images/brHMDx6QQiAUzWW1QMxC_SUPER%20SKUNK-011-edited.jpg,Indica,15%,Myrcene,"Super Sunk is an indica marijuana strain made by crossing Skunk #1 with Afghani. This strain produces bold, relaxing effects that you can feel through your entire body. Medical marijuana patients choose Super Skunk to help relieve symptoms associated with chronic stress and pain. Super Skunk is ideal for anyone who enjoys an extra skunky aroma.",62%,54%,46%,32%,33%,38%,23%,7%,13%,4%,35%,28%,22%,27%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.01,0.0,0.0,0.0,0.0,0.087,0.0,0.004,0.0,0.181,0.014,0.0,0.442,0.219,,0.026,0.154,0.0,0.0,,0.31,0.0,14.74,0.01,0.0,0.05,0.0,0.0,0.01,0.2,0.06,0.0,
Sour OG,,Hybrid,20%,Myrcene,"Sour OG is a hybrid marijuana strain known to provide a balanced high. Sour OG is made by crossing Sour Diesel and OG Kush. Sour OG has been available in clone and seed form for quite some time. Most samples express dense, round, OG Kush-type buds laden with large, sticky trichomes. The odor and taste are usually an equal mix of both parents, with sour lemon, pine, fuel, and a distinct “kushy” undertone, although some versions have a more fruity profile. Often described as a “one-hit-quit” strain, Sour OG starts with an energetic head high that gradually gives way to a relaxing body stone.",55%,60%,48%,45%,0%,25%,16%,5%,4%,4%,36%,27%,27%,31%,0%,0%,0%,0%,0%,0%,31%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.073,0.0,0.023,0.012,0.0,0.189,0.0,0.0,0.425,0.631,0.032,0.0,1.738,0.024,,0.037,0.158,0.0,0.0,,11.79,0.04,69.72,0.0,0.08,0.19,0.0,0.0,0.0,1.01,0.27,0.16,
OGKB,,Hybrid,24%,Caryophyllene,"OGKB, also known as OG Kush Breath, is a hybrid marijuana strain that is believed to be a descendant of Girl Scout Cookies. This strain provides heavy, head-to-toe effects and is ideal for consumers looking for long-lasting relief of stress, insomnia, or chronic pain. OGKB has an earthy and herbal aroma with nutty, berry overtones, and its flavor adds a touch of vanilla. Growers say this strain blooms in hues of dark green and purple, with electric orange hairs and crystal-tipped trichomes.",66%,51%,40%,0%,37%,33%,13%,11%,4%,4%,26%,26%,20%,17%,20%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.013,0.0,0.0,0.0,0.0,0.166,0.0,0.008,0.093,0.288,0.048,0.0,0.786,0.722,,0.094,0.484,0.0,0.0,,0.74,0.0,29.59,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.05,0.0,
ACDC,,Hybrid,14%,Myrcene,"ACDC is a CBD-dominant marijuana strain made from a phenotype of Cannatonic. This strain produces little to no intoxicating effects. Medical marijuana patients choose ACDC to help treat various ailments like pain, anxiety, epilepsy and the negative effects of chemotherapy. ",61%,38%,0%,34%,0%,10%,4%,2%,0%,2%,37%,40%,22%,35%,0%,0%,0%,2%,0%,0%,17%,0%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.003,0.004,0.0,0.0,0.085,0.0,0.035,0.0,0.0,0.133,0.029,0.185,0.0,0.099,1.041,,0.09,0.103,0.0,0.0,,0.0,0.0,0.78,0.0,0.0,17.84,0.29,0.0,0.05,0.46,0.06,0.0,
NYC Diesel,https://images.leafly.com/flower-images/nyc-diesel.jpg,Hybrid,18%,Myrcene,"NYC Diesel is a hybrid marijuana strain made by crossing Mexican and Afghani landraces. This strain leans to the sativa side and provides strong cerebral effects that ease into a deep, full-body relaxation over time. A pungent lime and grapefruit aroma is the mark of a high quality batch, like those that won this strain five Cannabis Cup trophies in the early 2000s. NYC Diesel’s happy, talkative qualities make this hybrid a good choice for social activities and many anxiety-prone consumers praise it for its paranoia-free effects.",42%,59%,52%,52%,0%,31%,20%,6%,7%,0%,39%,25%,26%,30%,0%,0%,0%,5%,0%,0%,40%,0%,0%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.009,0.005,0.0,0.0,0.0,0.0,0.078,0.0,0.003,0.083,0.088,0.061,0.0,0.291,0.64,,0.07,0.307,0.0,0.0,,0.65,0.0,21.46,0.0,0.0,0.04,0.0,0.0,0.0,0.67,0.12,0.0,
Dutch Treat,https://images.leafly.com/flower-images/dutch-treat.jpg,Hybrid,19%,Terpinolene,"Dutch Treat is a hybrid marijuana strain made by crossing Northern Lights with Haze. This strain produces cerebral effects that will leave you feeling uplifted and euphoric while reducing stress and relaxing the mind. Dutch Treat features a flavor profile that smells like sweet fruits mixed with pine and eucalyptus trees. Growers say this strain has dense, sticky buds that are pungent. Medical marijuana patients choose Dutch Treat to help relieve symptoms associated with fatigue, pain, and PMS. This strain originates from Amsterdam and is a cultural staple among the coffee shops there.",50%,52%,54%,46%,0%,24%,13%,4%,4%,4%,37%,21%,23%,26%,10%,0%,0%,0%,0%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.058,0.0,0.003,0.006,0.0,0.052,0.0,0.057,0.478,1.663,0.028,0.053,0.1,0.035,0.123,0.971,,0.165,0.309,0.025,0.0,,0.39,0.0,22.09,0.0,0.0,0.11,0.0,0.0,0.0,1.36,0.17,0.0,
Pink Lemonade,https://images.leafly.com/flower-images/PINK-LEMONADE-020-fixed.jpg,Hybrid,17%,Pinene,"Pink Lemonade is a hybrid marijuana strain made by crossing Lemon Skunk with Purple Kush. This strain produces calming effects that instantly puts the mind into a haze while radiating through the body. Pink Lemonade smells like fruity, mentholated tea and has flavors of lemon and grapefruit on the exhale. This strain is used by medical marijuana patients to treat symptoms related to focus, stress and depression. Growers say Pink Lemonade comes in small buds that are coated in a generous layer of trichomes atop jade foliage and bronze pistils.",39%,55%,0%,45%,0%,15%,7%,3%,0%,9%,29%,13%,30%,23%,0%,0%,0%,4%,12%,41%,44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.004,0.007,0.003,0.0,0.078,0.0,0.044,0.023,0.0,0.002,0.043,0.025,0.0,0.154,0.269,,0.03,0.13,0.0,0.0,,0.41,0.0,11.61,0.0,0.0,0.1,0.0,0.0,0.0,0.64,0.02,0.0,
Diamond OG,,Indica,18%,Pinene,"Diamond OG is an indica marijuana strain that patients love for its potent and long-lasting effects. This strain induces full-body relaxation that may help temper pain and muscle spasms before settling into an overall laziness. Diamond OG can leave you mentally euphoric in smaller doses, but it’s definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by diesel undertones. These sparkling nugs will be condensed and have a strong odor; they’re definitely a beauty to show off. ",60%,41%,43%,0%,54%,23%,15%,6%,6%,2%,38%,36%,21%,25%,30%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.073,0.0,0.0,0.041,0.026,0.208,0.0,0.0,0.137,0.177,0.0,0.0,0.494,0.0,,0.0,0.01,0.0,0.0,,6.11,0.1,72.86,0.06,0.0,0.22,0.0,0.0,0.0,2.02,0.32,0.3,
